producto,categoria,seccion,linea,abastecimiento,negocio
PROBIOTICO SUPERCALO PLATANO 8X6X90ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
FANTA LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PAPAS FRITAS ONDULADAS MERKAT 320G,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCLILLO VACUNO GR KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
CHOCOLATE GOLDEN NUSS AMBROSOLI 120 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPAS FRITAS STAX CREM/CEB LAYS 140 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ESPIRALES ACONCAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MORTADELA PAVO SAN JORGE 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
FOSFOROS COPIHUITO,FOSFOROS,BAZAR,ILUMINACION,Centralizado,NON FOOD
JAMON ACARAMELADO PAVO SOPRAVAL 1KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MORTADELA DE AVE WINTER 1 KILO.,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
TOFFEE SURTIDO AMBROSOLI 450 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT YOGU-YOGU CAJA. 200 CC, VAINILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
"GALLETA NIK COSTA 71GR, LIMON",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
TOALLA NOCT ULTRAFINA MALLA KOTEX 15 UN,PROTECCION FEMENINA,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
YOGHURT LIGHT FRUTOS SECOS SOPROLE 120GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
NECTAR PIÑA ANDINA 200 CC,JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BEBIDA FANTA PET 591 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PACK 5 TALLARIN 87 CAROZZI+POMAROLA 200G,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT GRIEGO SOPROLE 110GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"YOGHURT ACTIVIA ZERO 120 GR., CIRUELA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
JAMON DE PAVO COCIDO SOPRAVAL 1 KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
"NECTAR WATT S LV 200CC, MANZANA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
P.  PICANA VAC GRA KG,VACUNO GRANEL,CARNES,VACUNO,Directo,PERECIBLES
"LECHE SOPROLE LV S/TAPA  1 LT, CHOCOLATE",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
MARGARINA SOPROLE PAN 250 GRS.,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
"NECTAR WATT S LV 200CC, DAMASCO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
GRAVILLA HIGIENE GATO TID Y CAT 4.5 KGS,ACCESORIOS ANIMALES,ALIMENTOS Y ACCESORIOS ANIMALES,ACCESORIOS DE MASCOTA,Centralizado,NON FOOD
"NECTAR WATT S LV 200CC, PIÑA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 165 GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DORITOS QUESO EVERCRISP 48 GR,SNACKS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FIDEO DOBLE QUIFARO SUAZO 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPA GRANEL KG,TUBERCULOS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
PIZZA PEPPERONI PF LISTO 430 GRS,PIZZAS Y MASAS,PLATOS PREPARADOS,ALIMENTOS PREPARADOS ASADURIAS,Directo,PRODUCCION
ARVEJAS FRUTOS DEL MAIPO 1 KG,VERDURAS CONGELADAS,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
TUYO OBLEAS C/CHOC COSTA 19 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MARGARINA PAMPERITA 1 KG,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
CHORIZO KING 480 GRS,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CHORITOS EN ACEITE ANGELMO 425 GR,CONSERVAS DE MARISCOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PEPSI LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
ARROZ G2 LARGO PREMIUM BANQUETE 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA MANA LIV.VAIN. TRIP ARCOR 393 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
COCA COLA DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MARGARINA MIX SOPROLE PAN 250 GRS,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
CABELLITOS ROMANO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAÑAL ADULTO PLUS G COTIDIAN 8 UN,PANAL ADULTO,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
CERV ROYAL GUARD 350 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
ARROZ G2 LARGO LONCOMILLA 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"CHIQUITIN NESTLE 45 GR, PLATANO",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LECHE SEMIDESCREMADA SOPROLE 1 LT.,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
DET POLVO RINSO FRESCURA DEL MAR 1KG,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
COCA COLA ZERO LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
BEBIDA ADRENALINE RED PET 750 CC,BEBIDAS ENERGETICAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
INSECT RAID CASA Y JARDIN 360 CC,INSECTICIDAS Y ANTIPLAGA,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
BEBIDA SPRITE PET 591 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
CHOCOLATE CHUBI DEU 22 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CLORO CLORINDA 1 LT,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
TIFANY DOYPACK DOS EN UNO 150 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MARSMALLOWS MORF TRADICIONAL 120 GRS,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YOGHURT SIN LACTOSA VAINILLA CALAN 110GR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
ALMENDRAS SALADAS MARCO POLO 80 GR,COCTEL FRUTOS SECOS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LIMON SODA DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
FIDEOS RIGATI SUAZO 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MANTEQUILLA SIN SAL SOPROLE PAN 250 GRS.,MANTEQUILLA PAN,LACTEOS,MANTEQUILLA,Directo,PERECIBLES
BON O BON CHOCOLATE 480 GRS,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOG.+CEREAL C/CUCHARA NESTLE 142 G, MILO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
SEMOLA SOPROLE C/SALSA DE CARAMELO 140 G,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
DETERGENTE LIQ RINSO AZUL DP 3 LT,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
ARROZ LOS CHINOS PREGRANEADO 1 KG,ARROZ,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ASIENTO VACUNO KG,VACUNO ENVASADO,CARNES,VACUNO,Directo,PERECIBLES
CHOCOLATE PRIVILEGIO ALMENDRA 30 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FOSFOROS ANDES 1 PQTE.,FOSFOROS,BAZAR,ILUMINACION,Centralizado,NON FOOD
CAZUELA POLLO,POLLO GRANEL,CARNES,POLLO,Directo,PERECIBLES
ZAPALLO ENTERO UNIDAD,CUCURBITACEAS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
"BEBIDA LACTEA SEMIDESC. CALO 2, FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
MARGARINA SOPROLE LIGHT POTE 500 GR,MARGARINA LIGHT,LACTEOS,MARGARINA,Directo,PERECIBLES
ESIRALES 49 CAROZZI 1 KG,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CABELLOS DE ANGEL ACONCAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT COL/FRUTAS GRIEGO 150G, DURAZNO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
AGUA PET C/GAS BENEDICTINO 500 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PACK GALLETA VAINILLA TRITON 3 UN 126 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PASTA TR3S CORBATAS LUCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
HARINA PAPEL TEO GROB 10 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT COL/FRUTAS GR, FRUTOS DEL BOSQUE",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
GALLETA DONUTS SNACK 33GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
BARRA FRAMBUESA SECHU DIS 15 X 20 GR.,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CHOCOLATE ROCKLETS ALMENDRA ARCOR 150 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CAFE INSTANTANEO SELECC CRUZEIRO 100 GR,CAFE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FORTIFICANTE P/LECHE 2EN1 MILO 500 GR,SABORIZANTES Y FORTIFICANTES PARA LECHE,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUIFAROS ROMANO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"SEMOLA NESTLE POTE C/CUCH 135G, BERRIES",POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CABELLO ANGEL LUCCHETTI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIMENTO PERROS CHAMPION 18 KGS,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
MAYONESA HELLMANNS DP 372 GR,MAYONESAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PAPAS FRITAS STAX CHEDDAR LAYS 140 GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
KEM PIÑA DESECHABLE 250 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
ALIM CACHORRO RM DOGCHOW 3KG,ALIMENTO CACHORRO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
GALLETA DELI COOKIE COCO B COSTA 110GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LONGANICILLA CAMPO REC DEL ABUELO 200 GR,CECINAS VACIO,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
PISCO A/CARMEN VERDE 750 CC BOT,PISCOS,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
CARAMELO BASTON VIENA 66 UND(470GRS),CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"YOGHURT BATIDO SOPROLE 165 GR, FRAMBUESA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PANUELOS ELITE DISX18,PAÑUELOS DESECHABLES,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
PASTA LUCCHETTI FETUCCHETTI TR3S 400GR.,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
TE BRASIL SUPREMO 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA DONUTS BITTER COSTA 100 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
YOGHURT CALAN FRUTILLA BOLSA 1 KG,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PROBIOTICO BIO OK S/L MORA 8X6X100ML,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
LECHE POLVO DESCREMADA SVELTY SB 800 GR,LECHE ABARROTES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
GALLETA MANTEQUILLA COSTA 140 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
ESPIRALES SUAZO 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA OBSESION MANI COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"LECHE SHAKE SHAKE 170 ML LONCOLE, MANJAR",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
ROLLS CRISPY BERRIES COSTA 140 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAPAS FRITAS ORIGINAL STAX LAYS 40GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
VIENESA COLONIAL SAN JORGE 1 KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
DEO FULL PROTECT CREMA MEN ETIQUET 60 GR,DESODORANTE,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
VIENESA POLLO MERKAT 1KG,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
GALLETA DONUTS COCO CRUNCH COSTA 100 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"GALLETA OBLEA ALTEZA MCKAY 140 G, HELADO",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
INSECT MORTEIN RINCONES Y RENDIJAS 300CC,INSECTICIDAS Y ANTIPLAGA,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
CHOCLO MERKAT 2 KG,CHOCLO CONGELADO,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
LAMINAS FRITAS AIR CRUNCH KRYZPO 35GR,PAPAS FRITAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
FRUTALISTA DURAZNO/PERA/CEREZA 4X113 GR,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
YOGUR GRIEGO NATURAL SIN AZUCAR,YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
"NECTAR WATT S LV 200CC, NARANJA",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PELUCHE SUPER 10,PELUCHES,ENTRETENCION,JUGUETES,Centralizado,NON FOOD
PH NOBLE ORQUIDEA UH 28MT X 12,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
VINO TTO TOCORNAL 2 LT CAJA,VINOS CAJA,PGC ALIMENTACION,VINOS Y LICORES,Centralizado,PGC
CEPILLO DISP 123 ORAL B 40MX6UN,CEPILLOS Y SEDAS,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
"YOGHURT BOL LIGHT DANONE 900GR, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PASTILLA WC LAVANDA GLADE 25 GR,LIMPIADORES BANO,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
PACK X 6 SALSA ITALIANA MERKAT DOYPACK 2,SALSAS DE TOMATES,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
GALLETA GRETEL FRUT COSTA 85 GR,GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
"GALLETA ROCKLETS 165 GR, VAINILLA",GALLETAS,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CEREAL BAR CON FRUTOS ROJOS+YOGHURT 21 G,CEREALES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
OMO MATIC SOFT ALOE VERA 400 GR,DETERGENTES,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
LECHE PLATANO LONCOLECHE 200 CC,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
FIDEOS CARACOL ACONCAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
SPRITE LATA 350 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
ATUN LOMITO ACEITE COLISEO 170GR,CONSERVAS DE PESCADOS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
CARAMELO ARBOLITO AMBROSOLI 430 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
LOLY TIRA FRUTA AMBROSOLI 10 UNDS.,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
CAPELLINI CAROZZI 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ALIM PERRO CARNE&ARROZ SABROKAN 9K,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
AMPOLLETA MINI ESPIRAL 12W 5000HRS BLITZ,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
PAÑAL BABYSEC PLUS G 30 UN,PANALES BEBE,PGC NO ALIMENTACION,CUIDADO BEBE & KIDS,Centralizado,PGC
CERV HEINEKEN 350 CC LATA.,CERVEZAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
JAMON PRAGA AHUMADO SUPER CERDO KG,CECINAS GRANEL,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
CLOROX ROPA COLOR 370GRS,TRATAMIENTO ROPA,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
MARGARINA NEXT 125 GRS,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
CHOCLO GRANO FRUTOS DEL MAIPO 1 KG,CHOCLO CONGELADO,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
AJO MALLA 1 UND,BULBOS,FRUTAS Y VERDURAS,VERDURAS,Centralizado,PERECIBLES
PACK2 CALCETINES BEBE NIÑA KFK,ROPA INTERIOR BEBE,TEXTIL HOGAR,VESTUARIO,Centralizado,NON FOOD
ORANGE CRUSH DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
KETCHUP WATTS DP 500 GR,KETCHUP,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PEPSI DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MARGARINA DE HORNEO HORNITO PAN 1 KG,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
CHOCLO MERKAT 1 KG,CHOCLO CONGELADO,HELADOS Y ALIMENTOS CONGELADOS,ALIMENTOS CONGELADOS,Directo,PERECIBLES
ECOCLASSIC 70W CL A55 220V E27 1CT/40SRT,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
LECHE UHT DIET DESCREMADA PARMALAT 1 LT,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
KEM PIÑA DESECHABLE 500 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
CABELLOS DE ANGEL PARMA 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PACK 2 AHORRO TRITUBO LC 20 WATTS BLITZ,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
SNACK CAREZZA 32 GR,CHOCOLATES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
HARINA TEMUCO GENERO 50 KG,HARINAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
"YOGHURT SOPROLE BOLSA 1 LT, FRUTILLA",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
YOGU - YOGU CHIRIMOYA 200 CC,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
CHUPETE BUTTER & CREAM ARCOR 432 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
MASTICABLE AMBROSOLI 400 GR,CONFITES REGULARES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
PAÑAL ADULTO PROTECT XG PLENITUD 8 UN,PANAL ADULTO,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
COCA COLA ZERO DESECHABLE 591 CC,BEBIDAS GASEOSAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
"BEBIDA POWERADE 600 CC, FROZEN BLAST",BEBIDAS FUNCIONALES,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
TE LA RENDIDORA SUPREMO 100 UN,TE - HIERBAS E INFUSIONES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
QUESO CHANCO LAMINADO SAN JORGE KG.,QUESOS MADUROS - SEMI MADUROS GRANEL,QUESOS Y HUEVOS,QUESOS MADUROS - SEMI MADUROS,Directo,PERECIBLES
JALEA SOPROLE FRAMBUESA 100 GR,POSTRES FRESCOS,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
PH SCOTT RINDEMAX 30MT X 6,PAPEL HIGIENICOS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
VIENESAS POLLO SAN JORGE 250 GR,VIENESAS,FIAMBRERIA,CECINAS,Centralizado,PERECIBLES
MARGARINA SURENA POTE 1 KG,MARGARINA REGULAR,LACTEOS,MARGARINA,Directo,PERECIBLES
JABON LIQUIDO AVENA SIMONDS 1 LT,JABONES,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
CLORO CLORINDA 250 GR,CLOROS,PGC NO ALIMENTACION,ASEO Y QUIMICOS,Centralizado,PGC
"NECTAR WATTS B/A 300 CC., DAMASCO",JUGOS Y NECTARES LARGA VIDA,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MIFRUT MANZANA VIVO 90 GRS,CONSERVAS DE FRUTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MERMELADA DURAZNO S/AZUCAR WATTS 200 GRS,MERMELADAS Y DULCES,PGC ALIMENTACION,DESAYUNO Y DULCE,Centralizado,PGC
SURT ALMACENERO CAROZZI 4.2KG+SALSA,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
PASTA ROMANO TALLARINES Nº77 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
MAQUINA D/AFEIT SIMPLY VENUS GILLETE 2UN,DEPILACION FEMENINA,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
LECHE UHT SEMIDESCREMADA PARMALAT 1LT,LECHES BLANCAS,LACTEOS,LECHES,Directo,PERECIBLES
"LECHE CALAN  200 ML, FRUTILLA",LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
AMPOLLETA AHORRO 20W BLITZ UN,AMPOLLETAS,BAZAR,ILUMINACION,Centralizado,NON FOOD
"YOGURT BOLS S/LACT ACTIVIA 1 KG, NATURAL",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
CARNE MECHADA SALSA MASTER DOG 15 KG,ALIMENTO PERRO ADULTO,ALIMENTOS Y ACCESORIOS ANIMALES,ALIMENTOS PARA PERRO,Centralizado,NON FOOD
"YOGHURT SOPROLE BOLSA 1 LT, DAMASCO",YOGHURT,LACTEOS,REFRIGERADOS,Directo,PERECIBLES
TALLARINES 77 MERKAT 400 GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
BEB COOL BLUE GATORADE 1 LT,BEBIDAS FUNCIONALES,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
PASTA DENTAL WHITE NOW PEPSODENT 99 GR,PASTA DENTAL,PGC NO ALIMENTACION,HIGIENE,Centralizado,PGC
SPAGHETTI Nº5 ACONGAGUA 400GR,FIDEOS Y PASTAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
AGUA MINERAL C/GAS PET VITAL PET 600 CC,AGUAS,PGC ALIMENTACION,BOTILLERIA,Centralizado,PGC
MOSTAZA HELLMANNS SACHET 100 GR,SALSAS VARIAS,PGC ALIMENTACION,ALIMENTO BASICO,Centralizado,PGC
ESPONJA PLATA MANLAC 3UN,ESPONJAS,PGC NO ALIMENTACION,ASEO Y TISSUE,Centralizado,PGC
LECHE CHOCOLATE LIGHT UHT SOPROLE 200ML,LECHES SABORES,LACTEOS,LECHES,Directo,PERECIBLES
